Country,All types,Beer,Other alcoholic beverages,Spirits,Wine
Cuba,4.7,1.77,0.01,2.69,0.23
Cyprus,9.59,2.85,0,4.02,2.72
Czechia,12.73,6.77,0,3.24,2.73
Democratic People's Republic of Korea,3.61,0.12,0,3.48,0
Democratic Republic of the Congo,0.56,0.5,0,0.05,0.01
Denmark,9.16,3.42,0,1.66,4.08
Djibouti,0.21,0.05,0,0.14,0.02
Dominica,6.32,1.64,0,4.39,0.29
Dominican Republic,5.56,3.15,0.06,2.18,0.17
Ecuador,3.05,2.32,0.03,0.61,0.09
Egypt,0.14,0.09,0,0.04,0.01
El Salvador,2.94,1.5,0,1.37,0.06
Equatorial Guinea,6.11,3.83,0.05,0.99,1.24
Eritrea,0.93,0.42,0.51,0,0
Estonia,11.65,4,1.13,4.6,1.92
Eswatini,7.68,2.45,5.17,0,0.06
Ethiopia,1.16,0.92,0.03,0.2,0
Fiji,2.71,1.64,0,0.79,0.29
Finland,8.23,3.76,0.91,1.96,1.59
France,11.44,2.52,0.18,2.3,6.44
Gabon,6.47,5.31,0.04,0.5,0.62
Gambia,2.67,0.21,2.44,0.02,0
Georgia,7.45,1.71,0.02,2.52,3.19
Germany,10.56,5.57,0,1.97,3.02
Ghana,1.59,0.53,0.61,0.39,0.05
Greece,6.33,2.13,0.08,1.45,2.66
Grenada,8.62,3.54,0.31,4.21,0.56
Guatemala,1.63,0.9,0.01,0.68,0.05
Guinea,0.33,0.29,0,0.03,0.01
Guinea-Bissau,3.21,0.41,1.28,0.54,0.98
Guyana,5.11,2.75,0.02,2.3,0.04
Haiti,2.85,0.55,0,2.26,0.03
Honduras,2.73,1.6,0,1.09,0.04
Hungary,10.79,3.96,0,3.5,3.33
Iceland,7.72,4.39,0,1.22,2.11
India,3.09,0.23,0,2.85,0
Indonesia,0.08,0.06,0,0.02,0.01
Iran (Islamic Republic of),0.02,0,0,0.02,0
Iraq,0.16,0.11,0,0.04,0
Ireland,10.91,4.92,0.82,2.29,2.88
Israel,3.07,1.78,0.04,1.16,0.08
Italy,7.65,1.99,0,0.83,4.83
Jamaica,3.46,1.19,0.35,1.66,0.25
Japan,8.36,1.35,5.09,1.63,0.29
Jordan,0.25,0.06,0,0.19,0
Kazakhstan,3.73,2.52,0,1.05,0.16
Kenya,1.68,0.81,0.03,0.81,0.04
Kiribati,0.43,0.26,0,0.17,0
Kuwait,0,0,0,0,0
Kyrgyzstan,4.02,0.43,0,3.35,0.23
Lao People's Democratic Republic,8.15,3.62,0,4.46,0.07
Latvia,12.9,4.9,1,5.3,1.7
Lebanon,1.14,0.38,0.02,0.53,0.21
Lesotho,3.56,1.98,0.82,0.31,0.44
Liberia,3.12,0.38,0.02,2.28,0.44
Libya,0.01,0,0,0,0.01
Lithuania,11.93,4.61,1.48,4.96,0.88
Luxembourg,11,4.04,0,2.14,4.73
Madagascar,0.89,0.5,0,0.32,0.07
Malawi,2.04,0.08,1.7,0.25,0
Malaysia,0.64,0.48,0.01,0.11,0.04
Maldives,1.38,0.33,0,0.45,0.59
Mali,0.6,0.09,0.49,0.02,0
Malta,8.07,2.8,0.42,2.51,2.34
Mauritania,0,0,0,0,0
Mauritius,3.39,1.94,0.03,0.88,0.23
Mexico,4.25,3.72,0.15,0.19,0.19
Micronesia (Federated States of),1.59,0.92,0.01,0.52,0.13
Mongolia,5.46,2.18,0,1.82,1.46
Montenegro,9.91,3.83,0.16,3.22,2.68
Morocco,0.51,0.18,0,0.09,0.24
Mozambique,1.46,1.03,0,0.21,0.22
Myanmar,2.06,0.5,0,1.55,0.02
Namibia,2.38,1.37,0.32,0.53,0.16
Nauru,2.44,0.54,0,1.81,0.09
Nepal,0.36,0.22,0,0.13,0
Netherlands,8.23,3.95,0,1.36,2.92
New Zealand,9.17,3.41,1.26,1.62,2.88
Nicaragua,3.69,1.57,0,2.1,0.02
Niger,0.11,0.04,0,0.06,0.01
Nigeria,4.49,0.73,3.27,0.4,0.09
Niue,8.5,4.28,0,2.33,1.89
Norway,6.05,2.63,0.19,1,2.23
Oman,0.47,0.17,0,0.29,0.02
Pakistan,0.04,0,0,0.04,0
Panama,6.54,5.29,0.02,1.2,0.02
Papua New Guinea,1.26,0.6,0,0.6,0.06
Paraguay,5.47,3.27,0.03,1.59,0.59
Peru,5.74,3.01,0.01,2.26,0.46
Philippines,4.85,1.47,0.01,3.34,0.03
Poland,10.96,5.72,0,4.36,0.88
Portugal,10.37,2.62,0.37,1.34,6.04
Qatar,0.96,0.29,0.01,0.59,0.07
Republic of Korea,7.74,1.72,5.66,0.22,0.15
Republic of Moldova,7.45,1.53,0.1,2.25,3.57
Romania,10.96,5.33,0,2.25,3.38
Russian Federation,7.29,3.04,0.12,3.16,0.97
Rwanda,6.35,0.23,6,0.09,0.03
Saint Kitts and Nevis,8.84,3.73,0.21,3.89,1.02
Saint Lucia,9.3,3.21,0.6,5.1,0.4
Saint Vincent and the Grenadines,7.48,2.52,0.23,4.48,0.24
Samoa,2.18,2.01,0,0.17,0
Sao Tome and Principe,4.23,0.42,0,0.23,3.58
Saudi Arabia,0,0,0,0,0
Senegal,0.25,0.21,0,0.02,0.02
Serbia,7.45,3.24,0.22,2.37,1.62
Seychelles,9.48,4.11,0.25,4.62,0.49
Sierra Leone,3.22,0.17,2.9,0.15,0.01
Singapore,1.81,1.26,0.04,0.24,0.27
Slovakia,10.3,4.14,0,4.14,2.01
Slovenia,11.05,4.54,0,1.26,5.26
Solomon Islands,1.19,1.1,0,0.02,0.06
Somalia,0,0,0,0,0
South Africa,7.21,3.99,0.7,1.31,1.21
Spain,10.73,4.67,0.19,2.34,3.52
Sri Lanka,2.58,0.22,0.03,2.32,0.01
Sudan,1.93,0,1.63,0.29,0
Suriname,6.6,3.4,0.18,2.87,0.14
Sweden,7.1,2.6,0.1,1,3.4
Switzerland,9.41,3.17,0.12,1.76,4.35
Syrian Arab Republic,0.13,0.02,0,0.11,0
Tajikistan,0.85,0.38,0,0.45,0.01
Thailand,6.86,1.85,0,4.78,0.23
The former Yugoslav Republic of Macedonia,3.9,1.93,0.03,0.9,1.03
Timor-Leste,0.41,0.27,0,0.05,0.09
Togo,1.4,0.78,0.33,0.2,0.09
Tonga,0.31,0.03,0,0.11,0.17
Trinidad and Tobago,5.81,2.92,0.09,2.65,0.16
Tunisia,1.51,0.99,0.03,0.17,0.32
Turkey,1.18,0.67,0,0.35,0.16
Turkmenistan,2.88,0.65,0,0.98,1.25
Tuvalu,0.93,0.01,0,0.22,0.69
Uganda,6.82,0.85,5.46,0.5,0.01
Ukraine,5.69,2.44,0.05,2.88,0.32
United Arab Emirates,2.03,0.21,0.02,1.65,0.14
United Kingdom of Great Britain and Northern Ireland,9.8,3.53,0.61,2.35,3.3
United Republic of Tanzania,7.81,0.74,6.6,0.38,0.09
United States of America,8.93,3.97,0,3.29,1.67
Uruguay,5.42,1.86,0,0.71,2.86
Uzbekistan,2.45,0.18,0,2.19,0.09
Vanuatu,1.6,0.34,0,0.87,0.39
Venezuela (Bolivarian Republic of),2.51,1.54,0.03,0.92,0.01
Viet Nam,3.41,3.18,0,0.21,0.02
Yemen,0.02,0.02,0,0,0
Zambia,3.82,1.26,2.16,0.36,0.04
Zimbabwe,3.11,1.2,1.47,0.39,0.05
(blank),,,,,
